latitude,longitude
25.033000,121.565400
25.033260,121.565486
25.033500,121.565619
25.033719,121.565797
25.033948,121.565685
25.034187,121.565619
25.034437,121.565598
25.034591,121.565399
25.034771,121.565233
25.034976,121.565103
25.035166,121.565134
25.035346,121.565200
25.035515,121.565301
25.035726,121.565465
25.035906,121.565663
25.036054,121.565896
25.035971,121.566150
25.035851,121.566381
25.035695,121.566590
25.035476,121.566768
25.035237,121.566900
25.034976,121.566986
25.034747,121.567098
25.034508,121.567164
25.034258,121.567185
25.034003,121.567131
25.033763,121.567032
25.033539,121.566887
25.033274,121.566768
25.033034,121.566602
25.032820,121.566391
25.032669,121.566216
25.032550,121.566018
25.032461,121.565797
25.032479,121.565521
25.032539,121.565256
25.032641,121.565003
25.032800,121.564837
25.032979,121.564705
25.033180,121.564607
25.033400,121.564633
25.033609,121.564699
25.033808,121.564805
25.033570,121.565055
25.033301,121.565253
25.033000,121.565400
